,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Asite EA,Bsite EA,Asite s,Asite d,Bsite atomic_radius,Bsite average_ionic_radius,Asite exp_EA,GM,Asite Z,Work function
1,Rb,Al,A,0.0,-6.54587,0.0,0.0,7.45672,-0.61964,1.66,4.0528,0.5794,0.2572,1.67,0.71,1.25,0.675,46.9,5.03624,37,3.73413
3,Rb,Ga,A,0.0,-6.725910000000002,0.99991,0.99823,6.506480000000002,-0.48998,1.68,4.0528,0.5794,0.1686,1.67,0.71,1.3,0.76,46.9,5.02685,37,4.16464
5,Rb,In,A,0.0,-7.24127,0.99987,0.99196,6.315,-0.37424,1.6,4.0528,0.5794,0.2822,1.67,0.71,1.55,0.94,46.9,4.99503,37,4.73135
7,Rb,Ge,A,0.0,-6.59927,0.99997,0.99941,4.5054,-0.79428,1.92,4.0528,0.5794,0.934,1.67,0.71,1.25,0.77,46.9,5.40527,37,3.4828
9,Rb,Sn,A,0.0,-7.17915,0.99993,0.99868,4.93922,-0.5934699999999999,1.84,4.0528,0.5794,1.0258,1.67,0.71,1.45,0.83,46.9,5.33285,37,4.39669
11,Rb,Sb,A,0.0,-7.34127,0.99995,0.99906,2.85482,-1.15985,2.08,4.0528,0.5794,1.8032,1.67,0.71,1.45,0.83,46.9,5.46279,37,3.89076
13,Cs,Sc,A,0.0,-4.64414,0.11245,0.20228,-25.23559,-0.49408,0.74,3.6887,0.5471,0.0,1.71,0.0,1.6,0.885,45.5,4.99877,55,4.3523
15,Cs,Ti,A,0.0,-4.46691,0.19559,0.27892,-32.481359999999995,-1.03025,0.79,3.6887,0.5471,0.2526,1.71,0.0,1.4,0.85167,45.5,5.03127,55,3.4524
17,Cs,Zr,A,0.0,-4.65145,0.19003,0.28135,-24.75493,-0.49562,0.76,3.6887,0.5471,0.0,1.71,0.0,1.55,0.86,45.5,5.08551,55,4.09229
19,Cs,Hf,A,0.0,-4.6022,0.19346,0.28323000000000004,-28.3428,-0.49324,0.775,3.6887,0.5471,0.4432,1.71,0.0,1.55,0.85,45.5,5.12945,55,4.03376
21,Cs,V,A,0.0,-4.44134,0.32018,0.33312,-38.74522,-1.59585,0.84,3.6887,0.5471,0.0,1.71,0.0,1.35,0.7775,45.5,5.07428,55,2.43733
23,Cs,Nb,A,0.0,-5.09702,0.30027,0.35242,-31.23299,-1.65412,0.82,3.6887,0.5471,0.0864,1.71,0.0,1.45,0.82,45.5,5.18234,55,3.25037
25,Cs,Ta,A,0.0,-4.99026,0.27395,0.33759,-34.36057,-1.51941,0.83,3.6887,0.5471,1.1716,1.71,0.0,1.45,0.82,45.5,5.21054,55,3.3248300000000004
27,Cs,Cr,A,0.0,-5.06323,0.50635,0.3656,-44.21988,-2.36036,0.89,3.6887,0.5471,1.3828,1.71,0.0,1.4,0.94,45.5,5.10767,55,1.98104
29,Cs,Mo,A,0.0,-6.1124,0.47104,0.36978,-36.35599000000001,-3.05772,0.88,3.6887,0.5471,1.3549,1.71,0.0,1.45,0.775,45.5,5.15617,55,1.42356
31,Cs,W,A,0.0,-6.7134399999999985,0.44029,0.35200000000000004,-39.84204,-3.64825,0.885,3.6887,0.5471,1.9369,1.71,0.0,1.35,0.76667,45.5,5.2820800000000006,55,0.8818600000000001
33,Cs,Mn,A,0.0,-5.0843,0.61534,0.38611,-49.05907,-2.35755,0.94,3.6887,0.5471,1.8221,1.71,0.0,1.4,0.6483300000000001,45.5,5.10767,55,2.20395
35,Cs,Re,A,0.0,-6.5353900000000005,0.5935699999999999,0.37206,-43.53932,-3.66456,0.94,3.6887,0.5471,2.7319,1.71,0.0,1.35,0.7125,45.5,5.18751,55,0.99357
37,Cs,Fe,A,0.0,-4.99754,0.71786,0.46858,-53.89641,-2.14825,0.99,3.6887,0.5471,2.3040000000000003,1.71,0.0,1.4,0.8525,45.5,5.1978,55,2.55662
39,Cs,Al,A,0.0,-4.40747,0.0,0.0,6.61868,-0.83475,1.66,3.6887,0.5471,0.2572,1.71,0.0,1.25,0.675,45.5,4.9654,55,3.49539
41,Cs,Ga,A,0.0,-4.36966,0.99985,0.99854,5.8097,-0.64291,1.68,3.6887,0.5471,0.1686,1.71,0.0,1.3,0.76,45.5,4.95615,55,3.9076
43,Cs,In,A,0.0,-4.57146,0.99985,0.99486,5.8872800000000005,-0.41137,1.6,3.6887,0.5471,0.2822,1.71,0.0,1.55,0.94,45.5,4.92478,55,4.46301
45,Cs,Ge,A,0.0,-4.32793,0.99996,0.99943,3.80079,-0.98621,1.92,3.6887,0.5471,0.934,1.71,0.0,1.25,0.77,45.5,5.32924,55,3.3826400000000003
47,Cs,Sn,A,0.0,-4.47535,0.99993,0.99867,4.47444,-0.65031,1.84,3.6887,0.5471,1.0258,1.71,0.0,1.45,0.83,45.5,5.25785,55,4.09872
49,Cs,Sb,A,0.0,-4.35582,0.99996,0.99916,2.55772,-0.99098,2.08,3.6887,0.5471,1.8032,1.71,0.0,1.45,0.83,45.5,5.38595,55,3.72131
51,K,Zr,A,0.0,-10.55876,0.19241,0.28814,-24.17189,-0.4954,0.76,4.2663,0.5992,0.0,1.54,0.37,1.55,0.86,48.4,5.19285,19,4.94129
53,K,Hf,A,0.0,-10.47393,0.19636,0.29147,-27.68131,-0.49381,0.775,4.2663,0.5992,0.4432,1.54,0.37,1.55,0.85,48.4,5.23772,19,4.88951
55,K,V,A,0.0,-10.31691,0.308,0.35577,-38.66192,-1.7607,0.84,4.2663,0.5992,0.0,1.54,0.37,1.35,0.7775,48.4,5.18139,19,3.21099
57,K,Nb,A,0.0,-11.41973,0.2969,0.36146,-31.04743,-1.97087,0.82,4.2663,0.5992,0.0864,1.54,0.37,1.45,0.82,48.4,5.29173,19,4.12956
59,K,Ta,A,0.0,-11.11685,0.27318000000000003,0.34779,-33.86935,-1.6615400000000002,0.83,4.2663,0.5992,1.1716,1.54,0.37,1.45,0.82,48.4,5.32052,19,4.19145
61,K,Cr,A,0.0,-10.85052,0.49195,0.39293,-44.31767,-2.52273,0.89,4.2663,0.5992,1.3828,1.54,0.37,1.4,0.94,48.4,5.21548,19,2.48776
63,K,Mo,A,0.0,-12.46419,0.4671300000000001,0.3813,-36.32419,-3.44153,0.88,4.2663,0.5992,1.3549,1.54,0.37,1.45,0.775,48.4,5.26501,19,1.9853
65,K,W,A,0.0,-13.18835,0.44141,0.36312,-39.77278,-4.15256,0.885,4.2663,0.5992,1.9369,1.54,0.37,1.35,0.76667,48.4,5.39357,19,1.41394
67,K,Mn,A,0.0,-10.66158,0.6036699999999999,0.41138,-49.31527,-2.49189,0.94,4.2663,0.5992,1.8221,1.54,0.37,1.4,0.6483300000000001,48.4,5.21548,19,2.73573
69,K,Re,A,0.0,-13.03292,0.58341,0.38412,-43.65698,-4.2377699999999985,0.94,4.2663,0.5992,2.7319,1.54,0.37,1.35,0.7125,48.4,5.29701,19,1.5077200000000002
70,K,In,A,0.0,-10.33147,0.99985,0.98987,6.4401,-0.4344,1.6,4.2663,0.5992,0.2822,1.54,0.37,1.55,0.94,48.4,5.02873,19,5.16611
73,Rb,Zr,A,0.0,-7.44481,0.191,0.28517,-24.36633,-0.45072,0.76,4.0528,0.5794,0.0,1.67,0.71,1.55,0.86,46.9,5.15806,37,4.44577
75,Rb,Hf,A,0.0,-7.35688,0.19488,0.28705,-27.89984,-0.41654,0.775,4.0528,0.5794,0.4432,1.67,0.71,1.55,0.85,46.9,5.20263,37,4.37935
77,Rb,V,A,0.0,-7.171360000000001,0.31135,0.34843,-38.65724,-1.57108,0.84,4.0528,0.5794,0.0,1.67,0.71,1.35,0.7775,46.9,5.1466699999999985,37,2.66608
79,Rb,Nb,A,0.0,-7.481610000000001,0.29791,0.35791,-30.39181,-1.09901,0.82,4.0528,0.5794,0.0864,1.67,0.71,1.45,0.82,46.9,5.25627,37,3.57637
81,Rb,Ta,A,0.0,-8.61519,0.27332,0.34329,-34.68517,-2.19126,0.83,4.0528,0.5794,1.1716,1.67,0.71,1.45,0.82,46.9,5.28487,37,3.63504
83,Rb,Cr,A,0.0,-7.77458,0.49723,0.38434,-44.29918,-2.37217,0.89,4.0528,0.5794,1.3828,1.67,0.71,1.4,0.94,46.9,5.18053,37,2.00523
85,Rb,Mo,A,0.0,-9.23258,0.46523,0.37701,-36.34217,-3.25666,0.88,4.0528,0.5794,1.3549,1.67,0.71,1.45,0.775,46.9,5.22973,37,1.51663
87,Rb,W,A,0.0,-9.92344,0.44234,0.35859,-39.80293,-3.9073,0.885,4.0528,0.5794,1.9369,1.67,0.71,1.35,0.76667,46.9,5.35743,37,0.95172
89,K,Fe,A,0.0,-10.34431,0.6955600000000001,0.48217,-54.26703000000001,-2.21383,0.99,4.2663,0.5992,2.3040000000000003,1.54,0.37,1.4,0.8525,48.4,5.30751,19,3.13734
91,K,Al,A,0.0,-9.4945,0.0,0.0,7.954160000000001,-0.6320899999999999,1.66,4.2663,0.5992,0.2572,1.54,0.37,1.25,0.675,48.4,5.07022,19,4.24552
93,K,Ga,A,0.0,-9.71682,0.9999,0.99797,6.825,-0.49648,1.68,4.2663,0.5992,0.1686,1.54,0.37,1.3,0.76,48.4,5.06076,19,4.65994
95,Rb,Mn,A,0.0,-7.64265,0.60928,0.40558,-49.24209000000001,-2.32379,0.94,4.0528,0.5794,1.8221,1.67,0.71,1.4,0.6483300000000001,46.9,5.18053,37,2.24855
97,Rb,Re,A,0.0,-9.75028,0.59008,0.37946,-43.62134,-3.9559,0.94,4.0528,0.5794,2.7319,1.67,0.71,1.35,0.7125,46.9,5.26152,37,1.04757
99,Rb,Fe,A,0.0,-7.396339999999999,0.70577,0.48493,-54.14327,-2.0451900000000003,0.99,4.0528,0.5794,2.3040000000000003,1.67,0.71,1.4,0.8525,46.9,5.27195,37,2.67473
101,Li,In,A,0.0,0.0,0.99977,0.98643,6.9299300000000015,-0.50948,1.6,5.3425,0.7046,0.2822,0.985,0.0,1.55,0.94,59.6,5.25301,3,7.542289999999999
103,Li,Ge,A,0.0,0.0,0.99994,0.99924,5.50064,-1.08526,1.92,5.3425,0.7046,0.934,0.985,0.0,1.25,0.77,59.6,5.68444,3,7.1837300000000015
105,Li,Sn,A,0.0,0.0,0.99989,0.99846,5.60222,-0.70055,1.84,5.3425,0.7046,1.0258,0.985,0.0,1.45,0.83,59.6,5.6082800000000015,3,7.868530000000002
107,Li,Sb,A,0.0,0.0,0.99991,0.99889,3.44562,-1.41666,2.08,5.3425,0.7046,1.8032,0.985,0.0,1.45,0.83,59.6,5.74493,3,6.7808199999999985
109,Na,Sc,A,0.0,-21.45301,0.11892,0.21394,-24.26459,-0.45772,0.74,5.118,0.6796,0.0,1.1,0.0,1.6,0.885,52.8,5.27401,11,6.3761
111,Na,Ti,A,0.0,-21.29311,0.19399999999999998,0.2951,-31.63563,-1.02022,0.79,5.118,0.6796,0.2526,1.1,0.0,1.4,0.85167,52.8,5.3083,11,5.70805
113,Na,Zr,A,0.0,-21.78466,0.19275,0.28978000000000004,-23.9508,-0.48262,0.76,5.118,0.6796,0.0,1.1,0.0,1.55,0.86,52.8,5.36552,11,6.26997
115,Na,Hf,A,0.0,-21.71622,0.19719,0.29185,-27.43933,-0.46078,0.775,5.118,0.6796,0.4432,1.1,0.0,1.55,0.85,52.8,5.41188,11,6.25261
117,Na,V,A,0.0,-21.70433,0.30452,0.36263,-38.61561,-1.8625,0.84,5.118,0.6796,0.0,1.1,0.0,1.35,0.7775,52.8,5.3536800000000015,11,4.6734
119,Na,Nb,A,0.0,-22.51647,0.29435,0.36316,-30.66517,-1.76518,0.82,5.118,0.6796,0.0864,1.1,0.0,1.45,0.82,52.8,5.46769,11,5.4603
121,Na,Ta,A,0.0,-23.84412,0.2719,0.34946,-35.09328,-3.05987,0.83,5.118,0.6796,1.1716,1.1,0.0,1.45,0.82,52.8,5.49744,11,5.53765
123,Na,Cr,A,0.0,-22.24261,0.48549,0.4003,-44.3023,-2.6205,0.89,5.118,0.6796,1.3828,1.1,0.0,1.4,0.94,52.8,5.3889,11,3.86508
125,Na,Mo,A,0.0,-23.90977,0.45895,0.38398,-36.28579000000001,-3.55884,0.88,5.118,0.6796,1.3549,1.1,0.0,1.45,0.775,52.8,5.44007,11,3.23358
127,Na,W,A,0.0,-24.66649,0.43081,0.36543,-39.72481,-4.2706300000000015,0.885,5.118,0.6796,1.9369,1.1,0.0,1.35,0.76667,52.8,5.57291,11,2.66542
129,Na,Mn,A,0.0,-21.99934,0.60464,0.4113600000000001,-49.37508,-2.58188,0.94,5.118,0.6796,1.8221,1.1,0.0,1.4,0.6483300000000001,52.8,5.3889,11,4.10939
131,Na,Re,A,0.0,-24.54455,0.57623,0.38681,-43.68084,-4.39771,0.94,5.118,0.6796,2.7319,1.1,0.0,1.35,0.7125,52.8,5.47315,11,2.67768
133,Na,Fe,A,0.0,-21.64192,0.6948300000000001,0.47785,-54.36163000000001,-2.33268,0.99,5.118,0.6796,2.3040000000000003,1.1,0.0,1.4,0.8525,52.8,5.48399,11,4.4558300000000015
135,Na,Al,A,0.0,-20.70893,0.0,0.0,8.70075,-0.68376,1.66,5.118,0.6796,0.2572,1.1,0.0,1.25,0.675,52.8,5.23881,11,5.72455
137,Na,Ga,A,0.0,-20.92999,0.99985,0.9966,7.15245,-0.5816,1.68,5.118,0.6796,0.1686,1.1,0.0,1.3,0.76,52.8,5.22904,11,5.99379
139,Na,In,A,0.0,-21.53091,0.9998,0.98733,6.588210000000001,-0.51463,1.6,5.118,0.6796,0.2822,1.1,0.0,1.55,0.94,52.8,5.19594,11,6.34503
140,Na,Ge,A,0.0,-21.03914,0.99995,0.99929,5.19235,-1.06601,1.92,5.118,0.6796,0.934,1.1,0.0,1.25,0.77,52.8,5.62268,11,5.48292
142,Na,Sn,A,0.0,-21.51212,0.9999,0.99853,5.30999,-0.71768,1.84,5.118,0.6796,1.0258,1.1,0.0,1.45,0.83,52.8,5.54735,11,6.27953
144,Na,Sb,A,0.0,-21.77711,0.99993,0.99894,3.22241,-1.41508,2.08,5.118,0.6796,1.8032,1.1,0.0,1.45,0.83,52.8,5.68251,11,5.56727
146,K,Sc,A,0.0,-10.28696,0.11697,0.21012,-24.58241,-0.4643600000000001,0.74,4.2663,0.5992,0.0,1.54,0.37,1.6,0.885,48.4,5.10429,19,5.1272400000000005
148,K,Ti,A,0.0,-10.00721,0.19407,0.29004,-31.85946,-0.97053,0.79,4.2663,0.5992,0.2526,1.54,0.37,1.4,0.85167,48.4,5.13747,19,4.2948
150,Sr,Sb,A,0.0,-18.0138,0.99996,0.99937,0.09108,-3.67223,2.08,5.7777,0.0,1.8032,1.42,0.633,1.45,0.83,5.03,5.29392,38,2.0380700000000003
152,Ba,Sc,A,0.0,-9.69896,0.12433,0.21514,-24.76875,-0.56292,0.74,5.1752,0.0797,0.0,1.515,0.94,1.6,0.885,13.95,5.09582,56,4.2426
155,Ba,Zr,A,0.0,-11.89312,0.20502,0.29404,-26.3438,-2.53022,0.76,5.1752,0.0797,0.0,1.515,0.94,1.55,0.86,13.95,5.18424,56,2.09977
157,Ba,Hf,A,0.0,-11.5251,0.21097,0.29859,-29.654840000000004,-2.28168,0.775,5.1752,0.0797,0.4432,1.515,0.94,1.55,0.85,13.95,5.22904,56,2.7447
159,Ba,V,A,0.0,-11.14497,0.36089,0.30464,-39.31815,-3.4009,0.84,5.1752,0.0797,0.0,1.515,0.94,1.35,0.7775,13.95,5.1728,56,1.13592
161,Ba,Nb,A,0.0,-13.06138,0.38699,0.32416,-32.29305,-4.42655,0.82,5.1752,0.0797,0.0864,1.515,0.94,1.45,0.82,13.95,5.28296,56,1.8715
163,Ba,Ta,A,0.0,-13.61347,0.36819,0.31306,-35.99208,-5.0315699999999985,0.83,5.1752,0.0797,1.1716,1.515,0.94,1.45,0.82,13.95,5.3117,56,2.36575
165,Ba,Cr,A,0.0,-10.7241,0.5332600000000001,0.34326,-44.20008,-3.21496,0.89,5.1752,0.0797,1.3828,1.515,0.94,1.4,0.94,13.95,5.20683,56,1.29324
167,Ba,Mo,A,0.0,-12.56,0.53354,0.34526,-36.29487,-4.31349,0.88,5.1752,0.0797,1.3549,1.515,0.94,1.45,0.775,13.95,5.25627,56,1.54483
169,Ba,W,A,0.0,-13.22905,0.51441,0.32931,-39.71598,-4.99927,0.885,5.1752,0.0797,1.9369,1.515,0.94,1.35,0.76667,13.95,5.3846300000000005,56,2.14456
171,Ba,Mn,A,0.0,-10.23321,0.6359199999999999,0.36097,-48.92411,-2.8438,0.94,5.1752,0.0797,1.8221,1.515,0.94,1.4,0.6483300000000001,13.95,5.20683,56,1.7044400000000002
173,Ba,Re,A,0.0,-12.66683,0.65496,0.34945,-43.22499000000001,-4.6102300000000005,0.94,5.1752,0.0797,2.7319,1.515,0.94,1.35,0.7125,13.95,5.28823,56,1.5659999999999998
175,Ba,Fe,A,0.0,-9.78154,0.7219,0.43102,-53.7556,-2.42426,0.99,5.1752,0.0797,2.3040000000000003,1.515,0.94,1.4,0.8525,13.95,5.29871,56,2.13974
176,Ba,Al,A,0.0,-8.674339999999999,0.0,0.0,6.4294400000000005,-0.71023,1.66,5.1752,0.0797,0.2572,1.515,0.94,1.25,0.675,13.95,5.06181,56,3.39515
179,Ba,Ga,A,0.0,-9.0258,0.99989,0.99827,5.60503,-0.61149,1.68,5.1752,0.0797,0.1686,1.515,0.94,1.3,0.76,13.95,5.05237,56,3.84987
181,Ba,In,A,0.0,-9.81801,0.99982,0.99061,5.34473,-0.54235,1.6,5.1752,0.0797,0.2822,1.515,0.94,1.55,0.94,13.95,5.02039,56,4.28979
183,Ba,Ge,A,0.0,-9.04822,0.99996,0.99942,3.61042,-1.0719,1.92,5.1752,0.0797,0.934,1.515,0.94,1.25,0.77,13.95,5.43271,56,2.91593
184,Ba,Sn,A,0.0,-9.80838,0.9999,0.99866,4.0164300000000015,-0.88382,1.84,5.1752,0.0797,1.0258,1.515,0.94,1.45,0.83,13.95,5.35993,56,3.69986
186,Ba,Sb,A,0.0,-12.51829,0.99996,0.99941,0.31628,-3.19548,2.08,5.1752,0.0797,1.8032,1.515,0.94,1.45,0.83,13.95,5.49052,56,1.66813
188,Y,W,A,0.15217999999999998,-24.9368,0.53289,0.32918000000000003,-39.43072,-5.74301,0.885,6.5236,0.0,1.9369,1.32,0.58,1.35,0.76667,29.6,5.69996,39,2.69323
190,Y,Mn,A,0.15819,-23.72106,0.66662,0.30319,-48.51737,-4.28145,0.94,6.5236,0.0,1.8221,1.32,0.58,1.4,0.6483300000000001,29.6,5.51175,39,2.41909
192,Y,Re,A,0.14394,-24.85248,0.6715300000000001,0.34185,-42.88504,-5.46235,0.94,6.5236,0.0,2.7319,1.32,0.58,1.35,0.7125,29.6,5.59791,39,2.98677
194,Y,Fe,A,0.15796,-23.02484,0.84385,0.33654,-53.35911,-3.69681,0.99,6.5236,0.0,2.3040000000000003,1.32,0.58,1.4,0.8525,29.6,5.60901,39,2.64303
195,Y,Al,A,0.15522,-22.30335,0.0,0.0,6.45078,-2.20655,1.66,6.5236,0.0,0.2572,1.32,0.58,1.25,0.675,29.6,5.358230000000002,39,2.62942
197,Y,Ga,A,0.14570999999999998,-23.7706,0.99968,0.99874,3.33,-3.13007,1.68,6.5236,0.0,0.1686,1.32,0.58,1.3,0.76,29.6,5.3482400000000005,39,2.49335
199,Y,In,A,0.13319,-24.37514,0.99944,0.99773,3.1562900000000003,-2.38377,1.6,6.5236,0.0,0.2822,1.32,0.58,1.55,0.94,29.6,5.31439,39,3.22359
201,Y,Ge,A,0.1287,-25.28961,0.99992,0.99942,0.35502,-5.2218,1.92,6.5236,0.0,0.934,1.32,0.58,1.25,0.77,29.6,5.7508599999999985,39,2.56245
203,Y,Sn,A,0.11837,-25.42484,0.9998,0.99871,0.526,-4.85762,1.84,6.5236,0.0,1.0258,1.32,0.58,1.45,0.83,29.6,5.67381,39,2.9204
205,Y,Sb,A,0.1332,-25.52486,0.99992,0.99953,-0.10693,-4.1852,2.08,6.5236,0.0,1.8032,1.32,0.58,1.45,0.83,29.6,5.81205,39,2.7744
207,Li,Sc,A,0.0,0.0,0.12044,0.21598,-24.13025,-0.4598,0.74,5.3425,0.7046,0.0,0.985,0.0,1.6,0.885,59.6,5.33194,3,7.8376
209,Li,Ti,A,0.0,0.0,0.19423,0.29716,-31.53465,-1.04,0.79,5.3425,0.7046,0.2526,0.985,0.0,1.4,0.85167,59.6,5.36661,3,7.60907
211,Li,Zr,A,0.0,0.0,0.19349,0.29037,-23.8542,-0.47662,0.76,5.3425,0.7046,0.0,0.985,0.0,1.55,0.86,59.6,5.42446,3,7.870039999999999
213,Li,Hf,A,0.0,0.0,0.1984,0.29216,-27.33698,-0.44932,0.775,5.3425,0.7046,0.4432,0.985,0.0,1.55,0.85,59.6,5.47133,3,7.87465
215,Li,V,A,0.0,0.0,0.30344,0.36538,-38.58387000000001,-1.90813,0.84,5.3425,0.7046,0.0,0.985,0.0,1.35,0.7775,59.6,5.41248,3,6.6024699999999985
217,Li,Nb,A,0.0,0.0,0.29441,0.36403,-30.92432,-2.10077,0.82,5.3425,0.7046,0.0864,0.985,0.0,1.45,0.82,59.6,5.52775,3,7.2428
219,Li,Ta,A,0.0,0.0,0.27224,0.35004,-34.8632,-2.90805,0.83,5.3425,0.7046,1.1716,0.985,0.0,1.45,0.82,59.6,5.55782,3,7.06554
221,Li,Cr,A,0.0,0.0,0.48104,0.4032,-44.29096,-2.67716,0.89,5.3425,0.7046,1.3828,0.985,0.0,1.4,0.94,59.6,5.4481,3,5.41769
223,K,Ge,A,0.0,-9.68246,0.99997,0.99936,4.8235800000000015,-0.90109,1.92,4.2663,0.5992,0.934,1.54,0.37,1.25,0.77,48.4,5.44174,19,3.991330000000001
225,K,Sn,A,0.0,-10.2859,0.99992,0.99863,5.12044,-0.65186,1.84,4.2663,0.5992,1.0258,1.54,0.37,1.45,0.83,48.4,5.36883,19,4.89814
227,K,Sb,A,0.0,-10.48502,0.99995,0.99901,2.99638,-1.30102,2.08,4.2663,0.5992,1.8032,1.54,0.37,1.45,0.83,48.4,5.49964,19,4.37967
229,Rb,Sc,A,0.0,-7.23638,0.11476,0.20605,-24.84574,-0.43085,0.74,4.0528,0.5794,0.0,1.67,0.71,1.6,0.885,46.9,5.07009,37,4.65867
231,Rb,Ti,A,0.0,-6.9131399999999985,0.19415,0.28537,-32.059670000000004,-0.88235,0.79,4.0528,0.5794,0.2526,1.67,0.71,1.4,0.85167,46.9,5.10305,37,3.7354
233,Li,Mo,A,0.0,0.0,0.45703,0.38509,-36.26548,-3.60999,0.88,5.3425,0.7046,1.3549,0.985,0.0,1.45,0.775,59.6,5.49983,3,4.83073
235,Li,W,A,0.0,0.0,0.43082,0.36636,-39.70431,-4.32199,0.885,5.3425,0.7046,1.9369,0.985,0.0,1.35,0.76667,59.6,5.63413,3,4.25254
237,Li,Mn,A,0.0,0.0,0.59843,0.41315,-49.37794,-2.63575,0.94,5.3425,0.7046,1.8221,0.985,0.0,1.4,0.6483300000000001,59.6,5.4481,3,5.68309
239,Li,Re,A,0.0,0.0,0.58005,0.38772,-43.68314,-4.46995,0.94,5.3425,0.7046,2.7319,0.985,0.0,1.35,0.7125,59.6,5.53326,3,4.18021
241,Li,Fe,A,0.0,0.0,0.69294,0.47433,-54.39139,-2.41134,0.99,5.3425,0.7046,2.3040000000000003,0.985,0.0,1.4,0.8525,59.6,5.5442300000000015,3,6.182
243,Li,Al,A,0.0,0.0,0.0,0.0,9.08165,-0.73245,1.66,5.3425,0.7046,0.2572,0.985,0.0,1.25,0.675,59.6,5.29635,3,7.381869999999998
245,Li,Ga,A,0.0,0.0,0.99982,0.99628,7.55505,-0.59387,1.68,5.3425,0.7046,0.1686,0.985,0.0,1.3,0.76,59.6,5.28647,3,7.444139999999999
247,Ca,Fe,A,0.0,-20.33502,0.74907,0.43371,-53.95036999999999,-2.96626,0.99,6.2588,0.0,2.3040000000000003,1.32,0.34,1.4,0.8525,2.37,5.2073,20,3.61708
249,Ca,Al,A,0.0,-19.08963,0.0,0.0,7.479430000000002,-0.87372,1.66,6.2588,0.0,0.2572,1.32,0.34,1.25,0.675,2.37,4.974480000000002,20,4.97478
251,Ca,Ga,A,0.0,-19.61148,0.99984,0.99758,5.72804,-0.84062,1.68,6.2588,0.0,0.1686,1.32,0.34,1.3,0.76,2.37,4.96521,20,5.33323
253,Ca,In,A,0.0,-20.638070000000006,0.99975,0.98672,5.15241,-0.80235,1.6,6.2588,0.0,0.2822,1.32,0.34,1.55,0.94,2.37,4.9337800000000005,20,5.55529
