,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Bsite IP,Asite d,Bsite d,Bsite atomic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
0,Rb,Al,B,0.0,-6.54587,0.0,0.0,7.45672,-0.61964,1.66,4.0528,5.7109,0.71,0.0,1.25,46.9,42.5,5.03624,37,7.39003
2,Rb,Ga,B,0.0,-6.725910000000002,0.99991,0.99823,6.506480000000002,-0.48998,1.68,4.0528,5.6565,0.71,0.17,1.3,46.9,28.9,5.02685,37,7.53396
4,Rb,In,B,0.0,-7.24127,0.99987,0.99196,6.315,-0.37424,1.6,4.0528,5.3782,0.71,0.36,1.55,46.9,28.9,4.99503,37,6.6936800000000005
6,Rb,Ge,B,0.0,-6.59927,0.99997,0.99941,4.5054,-0.79428,1.92,4.0528,7.4167,0.71,0.16,1.25,46.9,119.0,5.40527,37,7.5946
8,Rb,Sn,B,0.0,-7.17915,0.99993,0.99868,4.93922,-0.5934699999999999,1.84,4.0528,6.8885,0.71,0.345,1.45,46.9,107.3,5.33285,37,6.78685
10,Rb,Sb,B,0.0,-7.34127,0.99995,0.99906,2.85482,-1.15985,2.08,4.0528,8.3266,0.71,0.335,1.45,46.9,103.2,5.46279,37,6.22112
12,Cs,Sc,B,0.0,-4.64414,0.11245,0.20228,-25.23559,-0.49408,0.74,3.6887,6.8245,0.0,0.31,1.6,45.5,18.1,4.99877,55,6.70719
14,Cs,Ti,B,0.0,-4.46691,0.19559,0.27892,-32.481359999999995,-1.03025,0.79,3.6887,7.2564,0.0,0.28,1.4,45.5,7.6,5.03127,55,7.144539999999999
16,Cs,Zr,B,0.0,-4.65145,0.19003,0.28135,-24.75493,-0.49562,0.76,3.6887,6.8953,0.0,0.54,1.55,45.5,41.1,5.08551,55,6.47982
18,Cs,Hf,B,0.0,-4.6022,0.19346,0.28323000000000004,-28.3428,-0.49324,0.775,3.6887,7.6487,0.0,0.63,1.55,45.5,0.0,5.12945,55,6.48391
20,Cs,V,B,0.0,-4.44134,0.32018,0.33312,-38.74522,-1.59585,0.84,3.6887,6.4707,0.0,0.26,1.35,45.5,50.6,5.07428,55,6.3865
22,Cs,Nb,B,0.0,-5.09702,0.30027,0.35242,-31.23299,-1.65412,0.82,3.6887,6.275,0.0,0.51,1.45,45.5,86.1,5.18234,55,4.17325
24,Cs,Ta,B,0.0,-4.99026,0.27395,0.33759,-34.36057,-1.51941,0.83,3.6887,7.3632,0.0,0.605,1.45,45.5,31.0,5.21054,55,3.3595
26,Cs,Cr,B,0.0,-5.06323,0.50635,0.3656,-44.21988,-2.36036,0.89,3.6887,6.7401,0.0,0.25,1.4,45.5,64.3,5.10767,55,5.89829
28,Cs,Mo,B,0.0,-6.1124,0.47104,0.36978,-36.35599000000001,-3.05772,0.88,3.6887,6.4838,0.0,0.49,1.45,45.5,71.9,5.15617,55,4.23539
30,Cs,W,B,0.0,-6.7134399999999985,0.44029,0.35200000000000004,-39.84204,-3.64825,0.885,3.6887,7.6293,0.0,0.59,1.35,45.5,78.6,5.2820800000000006,55,3.53885
32,Cs,Mn,B,0.0,-5.0843,0.61534,0.38611,-49.05907,-2.35755,0.94,3.6887,8.2684,0.0,0.23,1.4,45.5,0.0,5.10767,55,6.30132
34,Cs,Re,B,0.0,-6.5353900000000005,0.5935699999999999,0.37206,-43.53932,-3.66456,0.94,3.6887,7.853,0.0,0.565,1.35,45.5,14.5,5.18751,55,4.31389
36,Cs,Fe,B,0.0,-4.99754,0.71786,0.46858,-53.89641,-2.14825,0.99,3.6887,8.5601,0.0,0.22,1.4,45.5,15.7,5.1978,55,6.76704
38,Cs,Al,B,0.0,-4.40747,0.0,0.0,6.61868,-0.83475,1.66,3.6887,5.7109,0.0,0.0,1.25,45.5,42.5,4.9654,55,7.24976
40,Cs,Ga,B,0.0,-4.36966,0.99985,0.99854,5.8097,-0.64291,1.68,3.6887,5.6565,0.0,0.17,1.3,45.5,28.9,4.95615,55,7.45282
42,Cs,In,B,0.0,-4.57146,0.99985,0.99486,5.8872800000000005,-0.41137,1.6,3.6887,5.3782,0.0,0.36,1.55,45.5,28.9,4.92478,55,6.833469999999998
44,Cs,Ge,B,0.0,-4.32793,0.99996,0.99943,3.80079,-0.98621,1.92,3.6887,7.4167,0.0,0.16,1.25,45.5,119.0,5.32924,55,7.6512
46,Cs,Sn,B,0.0,-4.47535,0.99993,0.99867,4.47444,-0.65031,1.84,3.6887,6.8885,0.0,0.345,1.45,45.5,107.3,5.25785,55,6.97935
48,Cs,Sb,B,0.0,-4.35582,0.99996,0.99916,2.55772,-0.99098,2.08,3.6887,8.3266,0.0,0.335,1.45,45.5,103.2,5.38595,55,6.57279
50,K,Zr,B,0.0,-10.55876,0.19241,0.28814,-24.17189,-0.4954,0.76,4.2663,6.8953,0.37,0.54,1.55,48.4,41.1,5.19285,19,6.27619
52,K,Hf,B,0.0,-10.47393,0.19636,0.29147,-27.68131,-0.49381,0.775,4.2663,7.6487,0.37,0.63,1.55,48.4,0.0,5.23772,19,6.29124
54,K,V,B,0.0,-10.31691,0.308,0.35577,-38.66192,-1.7607,0.84,4.2663,6.4707,0.37,0.26,1.35,48.4,50.6,5.18139,19,5.78998
56,K,Nb,B,0.0,-11.41973,0.2969,0.36146,-31.04743,-1.97087,0.82,4.2663,6.275,0.37,0.51,1.45,48.4,86.1,5.29173,19,3.4187800000000004
58,K,Ta,B,0.0,-11.11685,0.27318000000000003,0.34779,-33.86935,-1.6615400000000002,0.83,4.2663,7.3632,0.37,0.605,1.45,48.4,31.0,5.32052,19,2.66177
60,K,Cr,B,0.0,-10.85052,0.49195,0.39293,-44.31767,-2.52273,0.89,4.2663,6.7401,0.37,0.25,1.4,48.4,64.3,5.21548,19,5.57241
62,K,Mo,B,0.0,-12.46419,0.4671300000000001,0.3813,-36.32419,-3.44153,0.88,4.2663,6.4838,0.37,0.49,1.45,48.4,71.9,5.26501,19,3.6811
64,K,W,B,0.0,-13.18835,0.44141,0.36312,-39.77278,-4.15256,0.885,4.2663,7.6293,0.37,0.59,1.35,48.4,78.6,5.39357,19,2.98648
66,K,Mn,B,0.0,-10.66158,0.6036699999999999,0.41138,-49.31527,-2.49189,0.94,4.2663,8.2684,0.37,0.23,1.4,48.4,0.0,5.21548,19,6.05706
68,K,Re,B,0.0,-13.03292,0.58341,0.38412,-43.65698,-4.2377699999999985,0.94,4.2663,7.853,0.37,0.565,1.35,48.4,14.5,5.29701,19,3.736
71,K,In,B,0.0,-10.33147,0.99985,0.98987,6.4401,-0.4344,1.6,4.2663,5.3782,0.37,0.36,1.55,48.4,28.9,5.02873,19,6.50726
72,Rb,Zr,B,0.0,-7.44481,0.191,0.28517,-24.36633,-0.45072,0.76,4.0528,6.8953,0.71,0.54,1.55,46.9,41.1,5.15806,37,6.34799
74,Rb,Hf,B,0.0,-7.35688,0.19488,0.28705,-27.89984,-0.41654,0.775,4.0528,7.6487,0.71,0.63,1.55,46.9,0.0,5.20263,37,6.3587
76,Rb,V,B,0.0,-7.171360000000001,0.31135,0.34843,-38.65724,-1.57108,0.84,4.0528,6.4707,0.71,0.26,1.35,46.9,50.6,5.1466699999999985,37,6.04757
78,Rb,Nb,B,0.0,-7.481610000000001,0.29791,0.35791,-30.39181,-1.09901,0.82,4.0528,6.275,0.71,0.51,1.45,46.9,86.1,5.25627,37,3.65579
80,Rb,Ta,B,0.0,-8.61519,0.27332,0.34329,-34.68517,-2.19126,0.83,4.0528,7.3632,0.71,0.605,1.45,46.9,31.0,5.28487,37,2.89374
82,Rb,Cr,B,0.0,-7.77458,0.49723,0.38434,-44.29918,-2.37217,0.89,4.0528,6.7401,0.71,0.25,1.4,46.9,64.3,5.18053,37,5.75927
84,Rb,Mo,B,0.0,-9.23258,0.46523,0.37701,-36.34217,-3.25666,0.88,4.0528,6.4838,0.71,0.49,1.45,46.9,71.9,5.22973,37,3.89355
86,Rb,W,B,0.0,-9.92344,0.44234,0.35859,-39.80293,-3.9073,0.885,4.0528,7.6293,0.71,0.59,1.35,46.9,78.6,5.35743,37,3.18535
88,K,Fe,B,0.0,-10.34431,0.6955600000000001,0.48217,-54.26703000000001,-2.21383,0.99,4.2663,8.5601,0.37,0.22,1.4,48.4,15.7,5.30751,19,6.67705
90,K,Al,B,0.0,-9.4945,0.0,0.0,7.954160000000001,-0.6320899999999999,1.66,4.2663,5.7109,0.37,0.0,1.25,48.4,42.5,5.07022,19,7.28245
92,K,Ga,B,0.0,-9.71682,0.9999,0.99797,6.825,-0.49648,1.68,4.2663,5.6565,0.37,0.17,1.3,48.4,28.9,5.06076,19,7.41715
94,Rb,Mn,B,0.0,-7.64265,0.60928,0.40558,-49.24209000000001,-2.32379,0.94,4.0528,8.2684,0.71,0.23,1.4,46.9,0.0,5.18053,37,6.20463
96,Rb,Re,B,0.0,-9.75028,0.59008,0.37946,-43.62134,-3.9559,0.94,4.0528,7.853,0.71,0.565,1.35,46.9,14.5,5.26152,37,3.9475
98,Rb,Fe,B,0.0,-7.396339999999999,0.70577,0.48493,-54.14327,-2.0451900000000003,0.99,4.0528,8.5601,0.71,0.22,1.4,46.9,15.7,5.27195,37,6.764760000000001
100,Li,In,B,0.0,0.0,0.99977,0.98643,6.9299300000000015,-0.50948,1.6,5.3425,5.3782,0.0,0.36,1.55,59.6,28.9,5.25301,3,6.18409
102,Li,Ge,B,0.0,0.0,0.99994,0.99924,5.50064,-1.08526,1.92,5.3425,7.4167,0.0,0.16,1.25,59.6,119.0,5.68444,3,7.74786
104,Li,Sn,B,0.0,0.0,0.99989,0.99846,5.60222,-0.70055,1.84,5.3425,6.8885,0.0,0.345,1.45,59.6,107.3,5.6082800000000015,3,7.4623
106,Li,Sb,B,0.0,0.0,0.99991,0.99889,3.44562,-1.41666,2.08,5.3425,8.3266,0.0,0.335,1.45,59.6,103.2,5.74493,3,5.93565
108,Na,Sc,B,0.0,-21.45301,0.11892,0.21394,-24.26459,-0.45772,0.74,5.118,6.8245,0.0,0.31,1.6,52.8,18.1,5.27401,11,6.5051
110,Na,Ti,B,0.0,-21.29311,0.19399999999999998,0.2951,-31.63563,-1.02022,0.79,5.118,7.2564,0.0,0.28,1.4,52.8,7.6,5.3083,11,6.817260000000001
112,Na,Zr,B,0.0,-21.78466,0.19275,0.28978000000000004,-23.9508,-0.48262,0.76,5.118,6.8953,0.0,0.54,1.55,52.8,41.1,5.36552,11,6.32627
114,Na,Hf,B,0.0,-21.71622,0.19719,0.29185,-27.43933,-0.46078,0.775,5.118,7.6487,0.0,0.63,1.55,52.8,0.0,5.41188,11,6.33125
116,Na,V,B,0.0,-21.70433,0.30452,0.36263,-38.61561,-1.8625,0.84,5.118,6.4707,0.0,0.26,1.35,52.8,50.6,5.3536800000000015,11,5.3990800000000005
118,Na,Nb,B,0.0,-22.51647,0.29435,0.36316,-30.66517,-1.76518,0.82,5.118,6.275,0.0,0.51,1.45,52.8,86.1,5.46769,11,3.2549200000000003
120,Na,Ta,B,0.0,-23.84412,0.2719,0.34946,-35.09328,-3.05987,0.83,5.118,7.3632,0.0,0.605,1.45,52.8,31.0,5.49744,11,2.49519
122,Na,Cr,B,0.0,-22.24261,0.48549,0.4003,-44.3023,-2.6205,0.89,5.118,6.7401,0.0,0.25,1.4,52.8,64.3,5.3889,11,5.31901
124,Na,Mo,B,0.0,-23.90977,0.45895,0.38398,-36.28579000000001,-3.55884,0.88,5.118,6.4838,0.0,0.49,1.45,52.8,71.9,5.44007,11,3.44417
126,Na,W,B,0.0,-24.66649,0.43081,0.36543,-39.72481,-4.2706300000000015,0.885,5.118,7.6293,0.0,0.59,1.35,52.8,78.6,5.57291,11,2.77737
128,Na,Mn,B,0.0,-21.99934,0.60464,0.4113600000000001,-49.37508,-2.58188,0.94,5.118,8.2684,0.0,0.23,1.4,52.8,0.0,5.3889,11,5.8148
130,Na,Re,B,0.0,-24.54455,0.57623,0.38681,-43.68084,-4.39771,0.94,5.118,7.853,0.0,0.565,1.35,52.8,14.5,5.47315,11,3.49826
132,Na,Fe,B,0.0,-21.64192,0.6948300000000001,0.47785,-54.36163000000001,-2.33268,0.99,5.118,8.5601,0.0,0.22,1.4,52.8,15.7,5.48399,11,6.50062
134,Na,Al,B,0.0,-20.70893,0.0,0.0,8.70075,-0.68376,1.66,5.118,5.7109,0.0,0.0,1.25,52.8,42.5,5.23881,11,7.13503
136,Na,Ga,B,0.0,-20.92999,0.99985,0.9966,7.15245,-0.5816,1.68,5.118,5.6565,0.0,0.17,1.3,52.8,28.9,5.22904,11,7.233919999999999
138,Na,In,B,0.0,-21.53091,0.9998,0.98733,6.588210000000001,-0.51463,1.6,5.118,5.3782,0.0,0.36,1.55,52.8,28.9,5.19594,11,6.04142
141,Na,Sn,B,0.0,-21.51212,0.9999,0.99853,5.30999,-0.71768,1.84,5.118,6.8885,0.0,0.345,1.45,52.8,107.3,5.54735,11,6.6749
143,Na,Sb,B,0.0,-21.77711,0.99993,0.99894,3.22241,-1.41508,2.08,5.118,8.3266,0.0,0.335,1.45,52.8,103.2,5.68251,11,5.73599
145,K,Sc,B,0.0,-10.28696,0.11697,0.21012,-24.58241,-0.4643600000000001,0.74,4.2663,6.8245,0.37,0.31,1.6,48.4,18.1,5.10429,19,6.5510199999999985
147,K,Ti,B,0.0,-10.00721,0.19407,0.29004,-31.85946,-0.97053,0.79,4.2663,7.2564,0.37,0.28,1.4,48.4,7.6,5.13747,19,6.93032
149,Sr,Sb,B,0.0,-18.0138,0.99996,0.99937,0.09108,-3.67223,2.08,5.7777,8.3266,0.633,0.335,1.45,5.03,103.2,5.29392,38,4.83711
151,Ba,Sc,B,0.0,-9.69896,0.12433,0.21514,-24.76875,-0.56292,0.74,5.1752,6.8245,0.94,0.31,1.6,13.95,18.1,5.09582,56,5.9595699999999985
153,Ba,Ti,B,0.0,-10.22795,0.20018,0.29178000000000004,-33.20603,-2.0156400000000003,0.79,5.1752,7.2564,0.94,0.28,1.4,13.95,7.6,5.12895,56,5.4413800000000005
154,Ba,Zr,B,0.0,-11.89312,0.20502,0.29404,-26.3438,-2.53022,0.76,5.1752,6.8953,0.94,0.54,1.55,13.95,41.1,5.18424,56,3.34837
156,Ba,Hf,B,0.0,-11.5251,0.21097,0.29859,-29.654840000000004,-2.28168,0.775,5.1752,7.6487,0.94,0.63,1.55,13.95,0.0,5.22904,56,4.76742
158,Ba,V,B,0.0,-11.14497,0.36089,0.30464,-39.31815,-3.4009,0.84,5.1752,6.4707,0.94,0.26,1.35,13.95,50.6,5.1728,56,4.70284
160,Ba,Nb,B,0.0,-13.06138,0.38699,0.32416,-32.29305,-4.42655,0.82,5.1752,6.275,0.94,0.51,1.45,13.95,86.1,5.28296,56,2.71196
162,Ba,Ta,B,0.0,-13.61347,0.36819,0.31306,-35.99208,-5.0315699999999985,0.83,5.1752,7.3632,0.94,0.605,1.45,13.95,31.0,5.3117,56,2.22225
164,Ba,Cr,B,0.0,-10.7241,0.5332600000000001,0.34326,-44.20008,-3.21496,0.89,5.1752,6.7401,0.94,0.25,1.4,13.95,64.3,5.20683,56,5.110119999999998
166,Ba,Mo,B,0.0,-12.56,0.53354,0.34526,-36.29487,-4.31349,0.88,5.1752,6.4838,0.94,0.49,1.45,13.95,71.9,5.25627,56,3.25537
168,Ba,W,B,0.0,-13.22905,0.51441,0.32931,-39.71598,-4.99927,0.885,5.1752,7.6293,0.94,0.59,1.35,13.95,78.6,5.3846300000000005,56,2.76397
170,Ba,Mn,B,0.0,-10.23321,0.6359199999999999,0.36097,-48.92411,-2.8438,0.94,5.1752,8.2684,0.94,0.23,1.4,13.95,0.0,5.20683,56,5.7523800000000005
172,Ba,Re,B,0.0,-12.66683,0.65496,0.34945,-43.22499000000001,-4.6102300000000005,0.94,5.1752,7.853,0.94,0.565,1.35,13.95,14.5,5.28823,56,3.73165
174,Ba,Fe,B,0.0,-9.78154,0.7219,0.43102,-53.7556,-2.42426,0.99,5.1752,8.5601,0.94,0.22,1.4,13.95,15.7,5.29871,56,6.33615
177,Ba,Al,B,0.0,-8.674339999999999,0.0,0.0,6.4294400000000005,-0.71023,1.66,5.1752,5.7109,0.94,0.0,1.25,13.95,42.5,5.06181,56,7.0536
178,Ba,Ga,B,0.0,-9.0258,0.99989,0.99827,5.60503,-0.61149,1.68,5.1752,5.6565,0.94,0.17,1.3,13.95,28.9,5.05237,56,7.04028
180,Ba,In,B,0.0,-9.81801,0.99982,0.99061,5.34473,-0.54235,1.6,5.1752,5.3782,0.94,0.36,1.55,13.95,28.9,5.02039,56,5.88496
182,Ba,Ge,B,0.0,-9.04822,0.99996,0.99942,3.61042,-1.0719,1.92,5.1752,7.4167,0.94,0.16,1.25,13.95,119.0,5.43271,56,6.37345
185,Ba,Sb,B,0.0,-12.51829,0.99996,0.99941,0.31628,-3.19548,2.08,5.1752,8.3266,0.94,0.335,1.45,13.95,103.2,5.49052,56,4.76167
187,Y,W,B,0.15217999999999998,-24.9368,0.53289,0.32918000000000003,-39.43072,-5.74301,0.885,6.5236,7.6293,0.58,0.59,1.35,29.6,78.6,5.69996,39,2.54315
189,Y,Mn,B,0.15819,-23.72106,0.66662,0.30319,-48.51737,-4.28145,0.94,6.5236,8.2684,0.58,0.23,1.4,29.6,0.0,5.51175,39,4.05625
191,Y,Re,B,0.14394,-24.85248,0.6715300000000001,0.34185,-42.88504,-5.46235,0.94,6.5236,7.853,0.58,0.565,1.35,29.6,14.5,5.59791,39,2.94028
193,Y,Fe,B,0.15796,-23.02484,0.84385,0.33654,-53.35911,-3.69681,0.99,6.5236,8.5601,0.58,0.22,1.4,29.6,15.7,5.60901,39,4.69191
196,Y,Ga,B,0.14570999999999998,-23.7706,0.99968,0.99874,3.33,-3.13007,1.68,6.5236,5.6565,0.58,0.17,1.3,29.6,28.9,5.3482400000000005,39,5.55548
198,Y,In,B,0.13319,-24.37514,0.99944,0.99773,3.1562900000000003,-2.38377,1.6,6.5236,5.3782,0.58,0.36,1.55,29.6,28.9,5.31439,39,4.01368
200,Y,Ge,B,0.1287,-25.28961,0.99992,0.99942,0.35502,-5.2218,1.92,6.5236,7.4167,0.58,0.16,1.25,29.6,119.0,5.7508599999999985,39,5.21364
202,Y,Sn,B,0.11837,-25.42484,0.9998,0.99871,0.526,-4.85762,1.84,6.5236,6.8885,0.58,0.345,1.45,29.6,107.3,5.67381,39,4.93657
204,Y,Sb,B,0.1332,-25.52486,0.99992,0.99953,-0.10693,-4.1852,2.08,6.5236,8.3266,0.58,0.335,1.45,29.6,103.2,5.81205,39,2.78009
206,Li,Sc,B,0.0,0.0,0.12044,0.21598,-24.13025,-0.4598,0.74,5.3425,6.8245,0.0,0.31,1.6,59.6,18.1,5.33194,3,7.14642
208,Li,Ti,B,0.0,0.0,0.19423,0.29716,-31.53465,-1.04,0.79,5.3425,7.2564,0.0,0.28,1.4,59.6,7.6,5.36661,3,7.23332
210,Li,Zr,B,0.0,0.0,0.19349,0.29037,-23.8542,-0.47662,0.76,5.3425,6.8953,0.0,0.54,1.55,59.6,41.1,5.42446,3,6.891139999999999
212,Li,Hf,B,0.0,0.0,0.1984,0.29216,-27.33698,-0.44932,0.775,5.3425,7.6487,0.0,0.63,1.55,59.6,0.0,5.47133,3,6.85681
214,Li,V,B,0.0,0.0,0.30344,0.36538,-38.58387000000001,-1.90813,0.84,5.3425,6.4707,0.0,0.26,1.35,59.6,50.6,5.41248,3,5.94784
216,Li,Nb,B,0.0,0.0,0.29441,0.36403,-30.92432,-2.10077,0.82,5.3425,6.275,0.0,0.51,1.45,59.6,86.1,5.52775,3,4.3886
218,Li,Ta,B,0.0,0.0,0.27224,0.35004,-34.8632,-2.90805,0.83,5.3425,7.3632,0.0,0.605,1.45,59.6,31.0,5.55782,3,3.58711
220,Li,Cr,B,0.0,0.0,0.48104,0.4032,-44.29096,-2.67716,0.89,5.3425,6.7401,0.0,0.25,1.4,59.6,64.3,5.4481,3,5.51673
222,K,Ge,B,0.0,-9.68246,0.99997,0.99936,4.8235800000000015,-0.90109,1.92,4.2663,7.4167,0.37,0.16,1.25,48.4,119.0,5.44174,19,7.40428
224,K,Sn,B,0.0,-10.2859,0.99992,0.99863,5.12044,-0.65186,1.84,4.2663,6.8885,0.37,0.345,1.45,48.4,107.3,5.36883,19,6.63698
226,K,Sb,B,0.0,-10.48502,0.99995,0.99901,2.99638,-1.30102,2.08,4.2663,8.3266,0.37,0.335,1.45,48.4,103.2,5.49964,19,6.0743800000000014
228,Rb,Sc,B,0.0,-7.23638,0.11476,0.20605,-24.84574,-0.43085,0.74,4.0528,6.8245,0.71,0.31,1.6,46.9,18.1,5.07009,37,6.6437
230,Rb,Ti,B,0.0,-6.9131399999999985,0.19415,0.28537,-32.059670000000004,-0.88235,0.79,4.0528,7.2564,0.71,0.28,1.4,46.9,7.6,5.10305,37,7.03799
232,Li,Mo,B,0.0,0.0,0.45703,0.38509,-36.26548,-3.60999,0.88,5.3425,6.4838,0.0,0.49,1.45,59.6,71.9,5.49983,3,3.95845
234,Li,W,B,0.0,0.0,0.43082,0.36636,-39.70431,-4.32199,0.885,5.3425,7.6293,0.0,0.59,1.35,59.6,78.6,5.63413,3,3.20293
236,Li,Mn,B,0.0,0.0,0.59843,0.41315,-49.37794,-2.63575,0.94,5.3425,8.2684,0.0,0.23,1.4,59.6,0.0,5.4481,3,6.04079
238,Li,Re,B,0.0,0.0,0.58005,0.38772,-43.68314,-4.46995,0.94,5.3425,7.853,0.0,0.565,1.35,59.6,14.5,5.53326,3,2.32409
240,Li,Fe,B,0.0,0.0,0.69294,0.47433,-54.39139,-2.41134,0.99,5.3425,8.5601,0.0,0.22,1.4,59.6,15.7,5.5442300000000015,3,6.574319999999998
242,Li,Al,B,0.0,0.0,0.0,0.0,9.08165,-0.73245,1.66,5.3425,5.7109,0.0,0.0,1.25,59.6,42.5,5.29635,3,7.40945
244,Li,Ga,B,0.0,0.0,0.99982,0.99628,7.55505,-0.59387,1.68,5.3425,5.6565,0.0,0.17,1.3,59.6,28.9,5.28647,3,7.82003
246,Ca,Fe,B,0.0,-20.33502,0.74907,0.43371,-53.95036999999999,-2.96626,0.99,6.2588,8.5601,0.34,0.22,1.4,2.37,15.7,5.2073,20,5.94761
248,Ca,Al,B,0.0,-19.08963,0.0,0.0,7.479430000000002,-0.87372,1.66,6.2588,5.7109,0.34,0.0,1.25,2.37,42.5,4.974480000000002,20,6.640439999999999
250,Ca,Ga,B,0.0,-19.61148,0.99984,0.99758,5.72804,-0.84062,1.68,6.2588,5.6565,0.34,0.17,1.3,2.37,28.9,4.96521,20,6.39007
252,Ca,In,B,0.0,-20.638070000000006,0.99975,0.98672,5.15241,-0.80235,1.6,6.2588,5.3782,0.34,0.36,1.55,2.37,28.9,4.9337800000000005,20,4.97732
254,Ca,Ge,B,0.0,-19.75071,0.99995,0.99931,3.87988,-1.56252,1.92,6.2588,7.4167,0.34,0.16,1.25,2.37,119.0,5.33899,20,5.6391300000000015
256,Ca,Sn,B,0.0,-21.60726,0.99987,0.99863,3.09601,-2.12317,1.84,6.2588,6.8885,0.34,0.345,1.45,2.37,107.3,5.26746,20,4.61704
257,Ca,Sb,B,0.0,-23.99589,0.99995,0.99936,-0.09496,-4.02399,2.08,6.2588,8.3266,0.34,0.335,1.45,2.37,103.2,5.3958,20,4.83805
259,Sr,Sc,B,0.0,-14.7246,0.12742,0.22098,-24.39078,-0.63344,0.74,5.7777,6.8245,0.633,0.31,1.6,5.03,18.1,4.91335,38,5.54452
261,Sr,Ti,B,0.0,-15.1888,0.1998,0.29886,-32.8896,-2.0884400000000003,0.79,5.7777,7.2564,0.633,0.28,1.4,5.03,7.6,4.9453,38,5.20355
